,income_type,children,days_employed,dob_years,education_id,family_status_id,gender,debt,total_income,purpose,total_income_category,purpose_category
4374,госслужащий,2,522.5475066202197,39,1,0,M,0,212457,профильное образование,B,получение образования
4375,сотрудник,0,1572.7014685141116,41,1,1,F,0,56281,свадьба,C,проведение свадьбы
4376,сотрудник,1,1507.4807671145225,24,1,0,F,0,115804,покупка коммерческой недвижимости,C,операции с недвижимостью
4377,пенсионер,1,339818.80354418827,49,1,3,F,0,206095,покупка жилой недвижимости,B,операции с недвижимостью
4378,компаньон,2,962.5714183426753,38,0,1,F,0,96085,свадьба,C,проведение свадьбы
4379,сотрудник,1,594.5835732628276,40,1,0,M,0,168806,операции с коммерческой недвижимостью,C,операции с недвижимостью
4380,сотрудник,0,2972.8134844110405,42,1,1,F,0,79332,сыграть свадьбу,C,проведение свадьбы
4381,сотрудник,1,6401.409886979181,37,1,0,F,0,138620,покупка жилой недвижимости,C,операции с недвижимостью
4382,сотрудник,0,632.6430682975313,33,1,4,M,0,161934,операции со своей недвижимостью,C,операции с недвижимостью
4383,пенсионер,0,372673.2641202309,58,1,0,F,0,225564,сделка с подержанным автомобилем,B,операции с автомобилем
4384,компаньон,0,658.9763189677689,27,0,0,M,0,261079,ремонт жилью,B,операции с недвижимостью
4385,сотрудник,0,753.9306665896866,34,1,1,F,1,309149,операции со своей недвижимостью,B,операции с недвижимостью
4386,компаньон,2,780.474829768125,31,1,0,F,0,50192,недвижимость,C,операции с недвижимостью
4387,сотрудник,1,86.92481612165182,39,1,0,M,0,245570,строительство собственной недвижимости,B,операции с недвижимостью
4388,компаньон,2,556.7452836212461,30,2,0,F,0,95146,на покупку автомобиля,C,операции с автомобилем
4389,сотрудник,1,4139.8594913147745,48,1,0,F,0,147055,покупка жилья для семьи,C,операции с недвижимостью
4390,компаньон,0,2194.220566878695,51,1,2,F,0,172357,покупка коммерческой недвижимости,C,операции с недвижимостью
4391,сотрудник,0,255.455137126419,26,0,4,M,0,78408,на покупку своего автомобиля,C,операции с автомобилем
4392,госслужащий,3,504.43626288198334,38,1,0,F,0,111375,покупка жилья для сдачи,C,операции с недвижимостью
4393,компаньон,0,924.3418702802554,24,1,4,M,0,374652,автомобили,B,операции с автомобилем
4394,госслужащий,0,9721.632797040782,44,1,1,F,0,139681,высшее образование,C,получение образования
4395,пенсионер,0,357688.74718403287,56,1,1,F,0,103642,сыграть свадьбу,C,проведение свадьбы
4396,компаньон,1,850.3576283046042,31,1,0,M,1,133651,профильное образование,C,получение образования
4397,сотрудник,2,2609.5702487110066,42,1,0,M,0,151067,на покупку своего автомобиля,C,операции с автомобилем
4398,сотрудник,0,258.93844242785246,45,0,1,M,0,142945,сыграть свадьбу,C,проведение свадьбы
4399,компаньон,20,494.7884479260646,52,1,0,M,0,156629,операции со своей недвижимостью,C,операции с недвижимостью
4400,компаньон,1,492.973040359854,38,0,0,F,0,194651,заняться образованием,C,получение образования
4401,пенсионер,0,371052.6968127112,59,1,4,F,0,149542,на покупку своего автомобиля,C,операции с автомобилем
4402,пенсионер,0,360701.12656769156,65,1,0,F,0,169009,недвижимость,C,операции с недвижимостью
4403,сотрудник,1,2194.220566878695,34,0,1,M,0,142594,сыграть свадьбу,C,проведение свадьбы
4404,сотрудник,1,1249.1090343166495,34,0,0,M,0,210440,свой автомобиль,B,операции с автомобилем
4405,сотрудник,0,584.0845029795751,32,1,4,M,0,154113,строительство недвижимости,C,операции с недвижимостью
4406,пенсионер,0,374042.3992496725,59,1,2,F,0,66848,на покупку своего автомобиля,C,операции с автомобилем
4407,сотрудник,0,1058.9458151233614,39,3,0,M,0,95112,строительство жилой недвижимости,C,операции с недвижимостью
4408,компаньон,2,5023.119477600408,36,1,0,M,0,182657,приобретение автомобиля,C,операции с автомобилем
4409,сотрудник,0,2263.846550966581,46,0,0,M,0,567440,жилье,B,операции с недвижимостью
4410,компаньон,2,2194.220566878695,40,1,2,F,0,172357,ремонт жилью,C,операции с недвижимостью
4411,компаньон,0,4133.696737035403,43,1,0,M,0,174820,получение образования,C,получение образования
4412,сотрудник,2,2502.8917978265904,0,0,4,M,0,292145,операции с недвижимостью,B,операции с недвижимостью
4413,сотрудник,1,11109.782505618114,59,1,0,F,0,128729,операции с коммерческой недвижимостью,C,операции с недвижимостью
4414,пенсионер,0,2194.220566878695,62,1,0,F,0,118514,автомобили,C,операции с автомобилем
4415,компаньон,1,2468.784738414269,44,0,1,F,0,192807,свадьба,C,проведение свадьбы
4416,сотрудник,0,9776.519787488136,66,1,4,F,0,157442,получение дополнительного образования,C,получение образования
4417,пенсионер,0,378136.1371387178,65,1,4,F,0,206854,строительство жилой недвижимости,B,операции с недвижимостью
4418,сотрудник,0,1771.9367827324127,46,0,1,M,0,193590,на проведение свадьбы,C,проведение свадьбы
4419,сотрудник,20,805.0444379213608,26,0,4,M,0,137200,ремонт жилью,C,операции с недвижимостью
4420,сотрудник,20,8190.644408530114,45,1,1,F,0,312270,сделка с подержанным автомобилем,B,операции с автомобилем
4421,пенсионер,0,351299.75830496184,71,1,1,F,0,74777,на проведение свадьбы,C,проведение свадьбы
4422,сотрудник,1,1206.2599455327495,54,1,0,M,0,256194,жилье,B,операции с недвижимостью
4423,сотрудник,0,2194.220566878695,54,1,0,M,0,142594,высшее образование,C,получение образования
4424,сотрудник,0,1666.8149634103952,56,1,0,F,0,198157,покупка жилья для семьи,C,операции с недвижимостью
4425,сотрудник,0,2559.9358575242763,68,1,2,F,0,63508,на покупку автомобиля,C,операции с автомобилем
4426,сотрудник,0,558.8555529092619,26,1,4,M,1,96195,профильное образование,C,получение образования
4427,пенсионер,0,392277.58512751095,62,0,0,M,0,75739,покупка коммерческой недвижимости,C,операции с недвижимостью
4428,компаньон,1,5754.168215309279,34,2,0,M,0,283987,ремонт жилью,B,операции с недвижимостью
4429,пенсионер,0,2194.220566878695,61,1,3,F,0,118514,покупка жилья для сдачи,C,операции с недвижимостью
4430,сотрудник,1,1416.1418430096792,30,1,0,M,0,154783,покупка жилья,C,операции с недвижимостью
4431,компаньон,1,2283.723518762443,45,0,0,M,0,237406,на покупку автомобиля,B,операции с автомобилем
4432,компаньон,2,1123.1365463715483,31,1,0,F,0,135319,автомобиль,C,операции с автомобилем
4433,госслужащий,0,2916.6750474389974,38,1,1,F,0,73407,покупка жилья для сдачи,C,операции с недвижимостью
4434,сотрудник,0,4001.733433431537,55,1,1,F,0,182219,сыграть свадьбу,C,проведение свадьбы
4435,пенсионер,0,330583.87964127073,53,1,2,M,0,133650,операции с коммерческой недвижимостью,C,операции с недвижимостью
4436,сотрудник,0,4046.868468875369,52,1,3,M,0,111697,дополнительное образование,C,получение образования
4437,сотрудник,2,2087.6220657650047,29,0,0,F,1,232919,получение дополнительного образования,B,получение образования
4438,сотрудник,0,2916.7094607711188,38,1,0,F,0,51306,заняться высшим образованием,C,получение образования
4439,компаньон,2,2045.033855900833,39,1,0,F,0,97208,получение образования,C,получение образования
4440,сотрудник,0,1190.6188283316212,30,2,4,M,0,153523,сделка с подержанным автомобилем,C,операции с автомобилем
4441,сотрудник,0,201.22075861491672,40,1,0,M,0,110505,операции с жильем,C,операции с недвижимостью
4442,пенсионер,0,393404.0845203994,58,1,4,F,0,199633,операции с жильем,C,операции с недвижимостью
4443,сотрудник,0,1177.0751476911105,43,1,4,F,0,95303,строительство жилой недвижимости,C,операции с недвижимостью
4444,пенсионер,0,353688.31498985883,59,1,1,F,0,82886,свадьба,C,проведение свадьбы
4445,госслужащий,1,1743.5877352045272,34,1,0,M,1,410236,профильное образование,B,получение образования
4446,компаньон,2,3381.788720610932,27,1,0,M,0,489226,жилье,B,операции с недвижимостью
4447,сотрудник,0,2180.745003536232,51,0,1,M,0,275544,сыграть свадьбу,B,проведение свадьбы
4448,сотрудник,0,5729.555296146769,56,1,0,F,0,97751,жилье,C,операции с недвижимостью
4449,пенсионер,0,387838.1134845913,68,1,0,F,0,195842,операции с коммерческой недвижимостью,C,операции с недвижимостью
4450,сотрудник,2,3518.4319552384254,47,1,0,M,0,260952,операции с коммерческой недвижимостью,B,операции с недвижимостью
4451,сотрудник,0,100.30942072408688,62,1,4,F,0,83624,покупка жилой недвижимости,C,операции с недвижимостью
4452,госслужащий,0,8286.778942079025,49,1,1,M,0,106514,на проведение свадьбы,C,проведение свадьбы
4453,госслужащий,0,923.8019072973525,50,0,3,F,0,435050,недвижимость,B,операции с недвижимостью
4454,госслужащий,2,7920.458750412441,40,1,1,F,0,209465,сыграть свадьбу,B,проведение свадьбы
4455,пенсионер,0,2194.220566878695,59,1,0,F,0,118514,на покупку подержанного автомобиля,C,операции с автомобилем
4456,компаньон,0,2194.220566878695,46,1,1,F,0,172357,свой автомобиль,C,операции с автомобилем
4457,компаньон,0,620.9447718627079,26,0,4,F,0,218357,на покупку своего автомобиля,B,операции с автомобилем
4458,госслужащий,2,5565.887399563754,40,1,0,F,0,89906,сделка с подержанным автомобилем,C,операции с автомобилем
4459,сотрудник,1,2194.220566878695,33,1,3,F,0,142594,заняться образованием,C,получение образования
4460,сотрудник,0,6383.134794565658,55,0,0,F,0,214475,дополнительное образование,B,получение образования
4461,сотрудник,1,536.0550478643505,39,1,0,M,0,109161,заняться образованием,C,получение образования
4462,пенсионер,0,338474.26342849684,55,1,0,F,0,139245,покупка жилой недвижимости,C,операции с недвижимостью
4463,компаньон,0,2194.220566878695,21,0,1,M,0,172357,автомобили,C,операции с автомобилем
4464,сотрудник,0,3238.801227926883,40,1,4,F,0,200273,операции с недвижимостью,B,операции с недвижимостью
4465,пенсионер,0,355626.8367862733,56,1,3,F,1,177979,получение образования,C,получение образования
4466,компаньон,0,3714.687881302391,42,1,0,F,0,76122,высшее образование,C,получение образования
4467,компаньон,2,2194.220566878695,38,1,0,M,0,172357,свой автомобиль,C,операции с автомобилем
4468,сотрудник,0,775.8990742268857,25,1,4,M,0,74491,на покупку автомобиля,C,операции с автомобилем
4469,компаньон,0,1131.2321492665926,41,0,3,F,0,95937,сделка с подержанным автомобилем,C,операции с автомобилем
4470,сотрудник,0,10735.08943067824,50,1,0,F,0,94753,на покупку своего автомобиля,C,операции с автомобилем
4471,госслужащий,0,3559.954664039775,51,1,0,F,0,373179,строительство недвижимости,B,операции с недвижимостью
4472,пенсионер,0,364550.58662211813,61,1,4,F,0,125229,покупка жилой недвижимости,C,операции с недвижимостью
4473,компаньон,0,1272.9907912371602,58,1,1,F,0,88601,на проведение свадьбы,C,проведение свадьбы
4474,компаньон,1,314.17060100210375,41,1,1,M,1,105037,свадьба,C,проведение свадьбы
4475,сотрудник,0,2861.1052865488678,53,1,0,F,0,92633,получение высшего образования,C,получение образования
4476,сотрудник,0,2194.220566878695,45,1,0,M,0,142594,заняться образованием,C,получение образования
4477,госслужащий,0,6608.966291867918,64,1,0,F,0,159786,автомобили,C,операции с автомобилем
4478,сотрудник,1,3077.307216505495,39,1,4,F,0,229471,строительство собственной недвижимости,B,операции с недвижимостью
4479,пенсионер,0,362343.6716045935,61,0,0,F,0,177740,свой автомобиль,C,операции с автомобилем
4480,компаньон,1,1556.3076968603687,42,1,0,F,0,133545,автомобиль,C,операции с автомобилем
4481,компаньон,0,294.8276944907135,53,0,0,M,0,653494,операции со своей недвижимостью,B,операции с недвижимостью
4482,сотрудник,0,2194.220566878695,53,1,3,F,0,142594,профильное образование,C,получение образования
4483,сотрудник,0,2194.220566878695,65,0,4,F,0,142594,покупка своего жилья,C,операции с недвижимостью
4484,компаньон,0,2254.774684558085,35,1,1,F,0,148145,операции с жильем,C,операции с недвижимостью
4485,компаньон,1,3843.290777994708,35,1,3,F,0,186303,высшее образование,C,получение образования
4486,компаньон,0,2194.220566878695,41,1,1,F,0,172357,сделка с автомобилем,C,операции с автомобилем
4487,сотрудник,0,1652.1541574189969,31,0,0,M,0,117851,недвижимость,C,операции с недвижимостью
4488,сотрудник,0,548.284810495976,27,2,4,M,0,223373,ремонт жилью,B,операции с недвижимостью
4489,сотрудник,1,263.99867778782084,26,0,4,F,0,151530,жилье,C,операции с недвижимостью
4490,сотрудник,1,2934.1242768565417,40,1,0,F,0,106697,получение высшего образования,C,получение образования
4491,сотрудник,0,1311.588334693111,57,0,0,F,0,87883,дополнительное образование,C,получение образования
4492,пенсионер,0,2194.220566878695,57,1,1,M,0,118514,сделка с автомобилем,C,операции с автомобилем
4493,компаньон,0,1799.8027520341877,53,0,1,F,0,364846,сыграть свадьбу,B,проведение свадьбы
4494,сотрудник,0,1712.1233049115203,44,0,0,F,0,94998,автомобиль,C,операции с автомобилем
4495,сотрудник,0,838.6630507977134,21,1,1,M,0,85067,профильное образование,C,получение образования
4496,компаньон,0,586.5623465851218,22,2,1,M,0,189048,покупка жилья для сдачи,C,операции с недвижимостью
4497,сотрудник,1,5259.792870695599,32,1,0,F,0,110861,покупка жилья для сдачи,C,операции с недвижимостью
4498,сотрудник,1,4027.9984584706563,41,1,0,F,0,72616,операции с жильем,C,операции с недвижимостью
4499,компаньон,0,1587.6460221269429,35,0,0,F,0,441522,недвижимость,B,операции с недвижимостью
4500,сотрудник,0,3600.6817669594734,29,1,0,M,0,373717,высшее образование,B,получение образования
4501,сотрудник,0,2828.7903099717328,27,1,4,M,0,149132,строительство недвижимости,C,операции с недвижимостью
4502,сотрудник,1,4319.435599908511,33,1,0,M,0,195799,свой автомобиль,C,операции с автомобилем
4503,сотрудник,0,2598.630201373066,28,1,0,F,0,477983,образование,B,получение образования
4504,сотрудник,0,1834.8287247012945,49,0,0,F,0,107083,строительство жилой недвижимости,C,операции с недвижимостью
4505,пенсионер,0,338433.7711212993,50,1,0,F,0,118243,на покупку своего автомобиля,C,операции с автомобилем
4506,сотрудник,0,2441.5728782288725,38,1,4,F,0,322413,операции с жильем,B,операции с недвижимостью
4507,компаньон,0,431.83656456088426,41,0,0,F,0,47005,строительство недвижимости,D,операции с недвижимостью
4508,компаньон,2,400.0907609304909,33,0,1,F,0,210639,на проведение свадьбы,B,проведение свадьбы
4509,компаньон,0,2194.220566878695,58,1,0,F,0,172357,автомобили,C,операции с автомобилем
4510,сотрудник,2,2631.408446058248,36,1,0,F,0,81667,строительство жилой недвижимости,C,операции с недвижимостью
4511,сотрудник,0,2370.057017897626,32,2,0,M,0,176663,покупка коммерческой недвижимости,C,операции с недвижимостью
4512,сотрудник,2,2194.220566878695,36,1,1,F,0,142594,покупка жилья для сдачи,C,операции с недвижимостью
4513,сотрудник,0,1093.0226362263645,58,1,0,F,0,162701,операции с жильем,C,операции с недвижимостью
4514,сотрудник,4,2640.601928471733,32,1,0,F,0,86698,на покупку автомобиля,C,операции с автомобилем
4515,сотрудник,0,2344.182990243104,27,1,0,M,0,162146,заняться высшим образованием,C,получение образования
4516,пенсионер,0,371929.4708537231,59,1,0,F,0,124956,покупка жилья,C,операции с недвижимостью
4517,пенсионер,0,399436.0998398833,55,1,3,F,0,92590,профильное образование,C,получение образования
4518,сотрудник,0,1012.3032357451046,31,1,0,F,0,172396,на покупку подержанного автомобиля,C,операции с автомобилем
4519,пенсионер,0,350308.36431403673,53,0,0,F,0,185526,покупка жилья для семьи,C,операции с недвижимостью
4520,сотрудник,1,641.2886784154639,34,0,0,M,0,176509,ремонт жилью,C,операции с недвижимостью
4521,пенсионер,0,342651.26491254463,61,1,0,F,0,90170,операции с коммерческой недвижимостью,C,операции с недвижимостью
4522,сотрудник,0,635.0745552692176,36,1,0,M,0,147286,дополнительное образование,C,получение образования
4523,сотрудник,2,1066.040399062177,49,3,0,M,0,36481,покупка своего жилья,D,операции с недвижимостью
4524,сотрудник,0,11278.180447381976,53,1,0,F,0,235666,на покупку автомобиля,B,операции с автомобилем
4525,сотрудник,2,632.7256621840236,20,1,0,M,0,61131,покупка жилой недвижимости,C,операции с недвижимостью
4526,сотрудник,2,4577.7536299691055,37,1,0,M,0,188692,недвижимость,C,операции с недвижимостью
4527,сотрудник,0,107.8279049670264,43,0,0,F,0,180296,заняться высшим образованием,C,получение образования
4528,сотрудник,0,1081.6632508250282,28,0,1,F,0,115057,высшее образование,C,получение образования
4529,компаньон,0,3741.713915976965,50,0,0,F,0,192647,получение дополнительного образования,C,получение образования
4530,пенсионер,0,358560.6323180677,58,1,0,M,0,67482,на покупку подержанного автомобиля,C,операции с автомобилем
4531,компаньон,1,189.44030374399026,43,1,4,F,1,186036,автомобили,C,операции с автомобилем
4532,компаньон,1,927.4821009993096,37,1,0,M,0,812559,на покупку автомобиля,B,операции с автомобилем
4533,компаньон,2,1110.0806354689191,35,1,0,F,0,316739,покупка недвижимости,B,операции с недвижимостью
4534,компаньон,0,1898.9218556417973,53,0,0,F,0,295660,на покупку своего автомобиля,B,операции с автомобилем
4535,пенсионер,1,366945.3484293178,55,1,0,M,0,217905,высшее образование,B,получение образования
4536,пенсионер,0,373778.0730123985,55,1,4,F,0,54430,дополнительное образование,C,получение образования
4537,сотрудник,0,4093.891758825673,29,1,4,F,0,118136,ремонт жилью,C,операции с недвижимостью
4538,сотрудник,0,2194.220566878695,27,1,1,M,0,142594,операции с жильем,C,операции с недвижимостью
4539,сотрудник,1,3079.8313793413176,46,1,0,F,0,127518,образование,C,получение образования
4540,компаньон,0,9281.993545148227,57,1,0,M,0,122860,ремонт жилью,C,операции с недвижимостью
4541,сотрудник,0,1111.8704821801994,48,1,0,M,0,118718,покупка жилья,C,операции с недвижимостью
4542,пенсионер,0,2194.220566878695,0,0,3,F,0,118514,покупка жилой недвижимости,C,операции с недвижимостью
4543,сотрудник,0,2256.2191582633245,31,1,1,M,0,174263,на проведение свадьбы,C,проведение свадьбы
4544,сотрудник,0,2194.220566878695,29,1,4,M,0,142594,операции с коммерческой недвижимостью,C,операции с недвижимостью
4545,пенсионер,0,331676.6224723251,67,0,0,F,0,184197,операции с жильем,C,операции с недвижимостью
4546,сотрудник,2,802.3120127041068,37,1,0,F,0,50759,строительство собственной недвижимости,C,операции с недвижимостью
4547,сотрудник,0,1198.7950598138425,58,1,3,M,0,279665,свой автомобиль,B,операции с автомобилем
4548,компаньон,1,94.27779563573307,37,1,0,F,0,48112,недвижимость,D,операции с недвижимостью
4549,пенсионер,0,337332.66138402524,55,1,1,F,0,194390,свадьба,C,проведение свадьбы
4550,компаньон,2,3425.0514654073736,49,0,0,M,0,147165,операции с недвижимостью,C,операции с недвижимостью
4551,пенсионер,0,335861.83541994845,66,1,0,F,0,129338,приобретение автомобиля,C,операции с автомобилем
4552,госслужащий,0,2194.220566878695,50,1,0,F,0,150447,профильное образование,C,получение образования
4553,госслужащий,1,571.6644620828248,38,0,0,F,0,134044,недвижимость,C,операции с недвижимостью
4554,сотрудник,0,940.515479892348,29,0,0,M,0,239474,операции с недвижимостью,B,операции с недвижимостью
4555,сотрудник,0,265.23495828800804,27,0,0,M,0,133063,покупка жилой недвижимости,C,операции с недвижимостью
4556,компаньон,1,866.8474310339607,34,1,0,F,0,94716,на покупку автомобиля,C,операции с автомобилем
4557,сотрудник,1,1570.9598539634628,37,1,0,M,0,111498,получение образования,C,получение образования
4558,компаньон,0,4093.16548196458,51,1,0,F,0,145906,автомобили,C,операции с автомобилем
4559,пенсионер,0,363197.9836659788,54,0,0,F,0,94110,покупка недвижимости,C,операции с недвижимостью
4560,сотрудник,0,584.1917092320423,41,1,1,F,0,144902,свадьба,C,проведение свадьбы
4561,госслужащий,1,4407.49889610317,37,0,0,F,0,300610,операции с недвижимостью,B,операции с недвижимостью
4562,компаньон,0,1357.0247001652522,24,1,1,F,0,247660,свадьба,B,проведение свадьбы
4563,сотрудник,0,822.4015007488476,44,1,3,F,0,84987,строительство жилой недвижимости,C,операции с недвижимостью
4564,пенсионер,0,366590.9957465017,68,1,2,F,0,160905,приобретение автомобиля,C,операции с автомобилем
4565,компаньон,1,99.93722775151969,34,1,1,M,0,97044,операции с недвижимостью,C,операции с недвижимостью
4566,пенсионер,0,385366.92690748244,59,1,0,M,0,95300,приобретение автомобиля,C,операции с автомобилем
4567,компаньон,0,989.2345470711238,41,0,1,M,0,181083,заняться высшим образованием,C,получение образования
4568,компаньон,2,1006.5652159331501,32,1,0,M,1,189395,высшее образование,C,получение образования
4569,сотрудник,0,772.7401976577638,45,1,1,M,0,402526,операции с недвижимостью,B,операции с недвижимостью
4570,пенсионер,0,347661.4080619188,61,3,0,F,0,64101,заняться образованием,C,получение образования
4571,компаньон,0,1601.6179836724302,27,0,4,F,0,177983,покупка жилья для семьи,C,операции с недвижимостью
4572,сотрудник,2,8848.764850892194,49,1,0,F,0,34874,на покупку своего автомобиля,D,операции с автомобилем
4573,сотрудник,0,232.37010676392558,35,1,1,F,0,173163,покупка жилой недвижимости,C,операции с недвижимостью
4574,сотрудник,1,424.6228981129542,36,1,3,M,0,173111,строительство жилой недвижимости,C,операции с недвижимостью
4575,пенсионер,0,350620.3195986601,53,1,0,F,0,109615,покупка жилой недвижимости,C,операции с недвижимостью
4576,пенсионер,0,2194.220566878695,63,0,0,M,0,118514,операции с коммерческой недвижимостью,C,операции с недвижимостью
4577,госслужащий,0,4152.558995445699,52,0,0,F,0,217254,покупка коммерческой недвижимости,B,операции с недвижимостью
4578,сотрудник,0,2501.7044294618413,58,1,1,F,0,108030,заняться образованием,C,получение образования
4579,компаньон,0,724.4875881961066,40,1,0,F,0,248117,покупка жилья для сдачи,B,операции с недвижимостью
4580,госслужащий,0,2239.1228832114903,58,1,0,F,0,110078,ремонт жилью,C,операции с недвижимостью
4581,компаньон,0,2194.220566878695,48,1,0,M,1,172357,сделка с подержанным автомобилем,C,операции с автомобилем
4582,госслужащий,0,4141.630427467176,50,0,0,M,1,185080,покупка жилья для семьи,C,операции с недвижимостью
4583,компаньон,0,4380.044486183203,36,0,0,F,0,324091,автомобиль,B,операции с автомобилем
4584,пенсионер,0,328923.4482215042,57,1,0,M,0,110496,операции с коммерческой недвижимостью,C,операции с недвижимостью
4585,сотрудник,0,1260.8242874136686,31,1,1,M,0,117053,на покупку подержанного автомобиля,C,операции с автомобилем
4586,компаньон,1,7453.847134353234,39,1,1,M,0,157481,сыграть свадьбу,C,проведение свадьбы
4587,компаньон,0,2872.479680189086,46,1,0,F,0,59386,на покупку автомобиля,C,операции с автомобилем
4588,сотрудник,0,2741.3345653459123,54,1,0,F,0,55084,приобретение автомобиля,C,операции с автомобилем
4589,сотрудник,0,465.2504136136586,40,1,1,F,0,65156,приобретение автомобиля,C,операции с автомобилем
4590,пенсионер,0,336491.0687491082,65,1,0,F,0,111750,строительство собственной недвижимости,C,операции с недвижимостью
4591,компаньон,0,8030.141561242232,46,0,4,F,0,398665,покупка своего жилья,B,операции с недвижимостью
4592,пенсионер,0,348792.14840993163,53,1,2,F,0,143041,ремонт жилью,C,операции с недвижимостью
4593,сотрудник,0,2194.220566878695,23,1,4,F,0,142594,сделка с подержанным автомобилем,C,операции с автомобилем
4594,пенсионер,1,401020.6425721485,53,3,2,F,0,165394,дополнительное образование,C,получение образования
4595,сотрудник,0,2194.220566878695,29,0,1,F,0,142594,сыграть свадьбу,C,проведение свадьбы
4596,сотрудник,0,2535.790416790084,51,1,1,F,0,220376,на покупку автомобиля,B,операции с автомобилем
4597,компаньон,2,1411.6914477680955,33,1,0,M,0,117519,строительство недвижимости,C,операции с недвижимостью
4598,компаньон,0,489.5429310852536,44,1,1,F,0,117728,свадьба,C,проведение свадьбы
4599,госслужащий,0,3229.2545571468513,45,1,3,F,0,183895,высшее образование,C,получение образования
4600,сотрудник,0,2186.0812054161734,43,1,3,M,0,245923,операции с коммерческой недвижимостью,B,операции с недвижимостью
4601,компаньон,1,243.51913851565502,32,1,0,M,0,203353,сделка с автомобилем,B,операции с автомобилем
4602,сотрудник,1,2969.4098603677508,33,1,0,M,1,224670,на покупку автомобиля,B,операции с автомобилем
4603,сотрудник,0,106.93040878405796,42,1,0,F,0,164630,операции с недвижимостью,C,операции с недвижимостью
4604,пенсионер,1,2194.220566878695,45,1,0,F,0,118514,на покупку подержанного автомобиля,C,операции с автомобилем
4605,сотрудник,0,1513.0990951138238,40,1,0,M,0,201131,профильное образование,B,получение образования
4606,пенсионер,0,354994.1033268167,62,1,2,F,0,126835,сделка с автомобилем,C,операции с автомобилем
4607,сотрудник,0,2194.220566878695,41,1,4,F,1,142594,автомобили,C,операции с автомобилем
4608,сотрудник,0,2062.3432879466927,51,1,3,M,0,111855,сделка с подержанным автомобилем,C,операции с автомобилем
4609,компаньон,0,8285.854948875762,48,1,3,F,0,116918,высшее образование,C,получение образования
4610,сотрудник,0,2194.220566878695,61,2,0,F,0,142594,операции с жильем,C,операции с недвижимостью
4611,сотрудник,0,770.7953371261781,45,1,1,M,0,147126,заняться образованием,C,получение образования
4612,сотрудник,0,526.9493528569361,45,0,0,M,0,153321,на покупку подержанного автомобиля,C,операции с автомобилем
4613,сотрудник,2,2194.220566878695,26,1,0,F,0,142594,покупка жилья для сдачи,C,операции с недвижимостью
4614,сотрудник,2,2010.6944743939828,26,0,0,F,0,167582,свой автомобиль,C,операции с автомобилем
4615,компаньон,1,1535.7722811998706,44,1,0,F,0,178861,сделка с автомобилем,C,операции с автомобилем
4616,компаньон,1,1487.0373468745859,44,0,1,F,0,193778,покупка жилой недвижимости,C,операции с недвижимостью
4617,госслужащий,0,2857.7709737955824,33,1,4,M,0,123038,сделка с автомобилем,C,операции с автомобилем
4618,компаньон,0,3355.260838329073,34,1,4,M,0,260932,сделка с подержанным автомобилем,B,операции с автомобилем
4619,сотрудник,0,1134.8696932227645,47,0,0,F,0,73935,операции со своей недвижимостью,C,операции с недвижимостью
4620,сотрудник,1,4108.6771907874545,54,1,1,F,0,94728,свадьба,C,проведение свадьбы
4621,компаньон,0,392.58185748564586,26,1,4,M,0,218063,покупка недвижимости,B,операции с недвижимостью
4622,госслужащий,1,4627.838680974411,31,0,1,F,0,271685,на проведение свадьбы,B,проведение свадьбы
4623,пенсионер,0,368786.2522505531,59,1,0,F,0,127622,операции с коммерческой недвижимостью,C,операции с недвижимостью
4624,сотрудник,0,1715.4849092596467,58,0,2,F,0,83635,приобретение автомобиля,C,операции с автомобилем
4625,сотрудник,0,7270.479679191365,42,0,0,F,0,372853,строительство собственной недвижимости,B,операции с недвижимостью
4626,компаньон,0,165.3777518512385,26,0,4,M,0,147301,получение дополнительного образования,C,получение образования
4627,пенсионер,0,374052.6583141285,54,1,1,M,0,241738,приобретение автомобиля,B,операции с автомобилем
4628,компаньон,2,1606.8390087283099,29,0,0,F,0,129336,недвижимость,C,операции с недвижимостью
4629,компаньон,1,8482.688672999042,41,1,0,F,0,208756,недвижимость,B,операции с недвижимостью
4630,пенсионер,0,342482.433842373,51,0,1,F,0,133981,на проведение свадьбы,C,проведение свадьбы
4631,компаньон,0,294.3086573572168,39,0,1,F,0,297619,автомобили,B,операции с автомобилем
4632,пенсионер,0,363219.35376410297,62,1,0,F,0,55370,операции со своей недвижимостью,C,операции с недвижимостью
4633,компаньон,0,2194.220566878695,50,1,0,F,0,172357,автомобили,C,операции с автомобилем
4634,компаньон,0,7439.130822411279,38,1,0,M,0,218528,строительство жилой недвижимости,B,операции с недвижимостью
4635,сотрудник,2,602.1200807831659,40,0,0,F,0,256627,сделка с автомобилем,B,операции с автомобилем
4636,компаньон,0,11121.0985166758,53,1,1,F,0,79344,покупка коммерческой недвижимости,C,операции с недвижимостью
4637,сотрудник,1,5244.480763757847,35,1,0,M,0,130583,операции с коммерческой недвижимостью,C,операции с недвижимостью
4638,сотрудник,0,408.69734907746863,40,1,1,F,0,102108,свадьба,C,проведение свадьбы
4639,сотрудник,1,1164.233150859904,39,1,1,F,0,169519,сыграть свадьбу,C,проведение свадьбы
4640,пенсионер,0,365882.5885285432,67,1,1,F,0,191912,покупка жилья для семьи,C,операции с недвижимостью
4641,пенсионер,0,397768.8802445651,71,1,4,M,0,223471,покупка жилья для семьи,B,операции с недвижимостью
